dgs;Date added to Report;Traveler: Project;Rosetta Assigned Project;Rosetta State;IDX Assigned Project;imageset;Project State;Projects with no Imageset workflow
100763737;2021-04-01 16:01:40;19-1095: Italy, Ancona, Civil Registration, 1544-1945 (DGA Project) - FSI;[Italy (Italian Ancestors), Ancona—Civil Registration, 1544–1945 \[Part F\] TEST|https:///www.familysearch.org/indexing/admin-new/#/projects/D7246CBC-164A-4A9C-86C6-FB4CB02A7C2E/overview];In Production;;F72A94E9-2C03-4744-80C1-FA1BC48C96A4;;
100763738;2021-04-01 16:01:40;19-1095: Italy, Ancona, Civil Registration, 1544-1945 (DGA Project) - FSI;[Italy (Italian Ancestors), Ancona—Civil Registration, 1544–1945 \[Part F\] TEST|https:///www.familysearch.org/indexing/admin-new/#/projects/D7246CBC-164A-4A9C-86C6-FB4CB02A7C2E/overview];In Production;;11A5031D-748A-4B28-B1E6-B76957A061AB;;
100763739;2021-04-01 16:01:40;19-1095: Italy, Ancona, Civil Registration, 1544-1945 (DGA Project) - FSI;[Italy (Italian Ancestors), Ancona—Civil Registration, 1544–1945 \[Part F\] TEST|https:///www.familysearch.org/indexing/admin-new/#/projects/D7246CBC-164A-4A9C-86C6-FB4CB02A7C2E/overview];In Production;;8ECA6A61-BAE0-4ACB-9B7E-EC89A620E410;;
100763741;2021-04-01 16:01:40;19-1095: Italy, Ancona, Civil Registration, 1544-1945 (DGA Project) - FSI;[Italy (Italian Ancestors), Ancona—Civil Registration, 1544–1945 \[Part F\] TEST|https:///www.familysearch.org/indexing/admin-new/#/projects/D7246CBC-164A-4A9C-86C6-FB4CB02A7C2E/overview];In Production;;E40A0A60-9971-47D5-B4B2-22362A9A7188;;
100763742;2021-04-01 16:01:40;19-1095: Italy, Ancona, Civil Registration, 1544-1945 (DGA Project) - FSI;[Italy (Italian Ancestors), Ancona—Civil Registration, 1544–1945 \[Part F\] TEST|https:///www.familysearch.org/indexing/admin-new/#/projects/D7246CBC-164A-4A9C-86C6-FB4CB02A7C2E/overview];In Production;;9752C2AC-56B4-4562-B5B2-887E7EE24262;;
100763743;2021-04-01 16:01:40;19-1095: Italy, Ancona, Civil Registration, 1544-1945 (DGA Project) - FSI;[Italy (Italian Ancestors), Ancona—Civil Registration, 1544–1945 \[Part F\] TEST|https:///www.familysearch.org/indexing/admin-new/#/projects/D7246CBC-164A-4A9C-86C6-FB4CB02A7C2E/overview];In Production;;CCBA046F-86B5-4729-B1F2-F97127B936C1;;
100763744;2021-04-01 16:01:40;19-1095: Italy, Ancona, Civil Registration, 1544-1945 (DGA Project) - FSI;[Italy (Italian Ancestors), Ancona—Civil Registration, 1544–1945 \[Part F\] TEST|https:///www.familysearch.org/indexing/admin-new/#/projects/D7246CBC-164A-4A9C-86C6-FB4CB02A7C2E/overview];In Production;;9AA49CF1-DFD9-4B58-A204-CE9903C982E6;;
100763745;2021-04-01 16:01:40;19-1095: Italy, Ancona, Civil Registration, 1544-1945 (DGA Project) - FSI;[Italy (Italian Ancestors), Ancona—Civil Registration, 1544–1945 \[Part F\] TEST|https:///www.familysearch.org/indexing/admin-new/#/projects/D7246CBC-164A-4A9C-86C6-FB4CB02A7C2E/overview];In Production;;71FAF8AE-1AAD-44B9-80C5-7564EB68186C;;
100763746;2021-04-01 16:01:40;19-1095: Italy, Ancona, Civil Registration, 1544-1945 (DGA Project) - FSI;[Italy (Italian Ancestors), Ancona—Civil Registration, 1544–1945 \[Part F\] TEST|https:///www.familysearch.org/indexing/admin-new/#/projects/D7246CBC-164A-4A9C-86C6-FB4CB02A7C2E/overview];In Production;;3CC18546-D2BC-40F1-B592-8478232817F8;;
100764128;2021-04-01 16:01:40;19-1095: Italy, Ancona, Civil Registration, 1544-1945 (DGA Project) - FSI;[Italy (Italian Ancestors), Ancona—Civil Registration, 1544–1945 \[Part F\] TEST|https:///www.familysearch.org/indexing/admin-new/#/projects/D7246CBC-164A-4A9C-86C6-FB4CB02A7C2E/overview];In Production;;930E0FB5-C7B1-46D7-A401-C6EA3C0C5D9C;;
100764147;2021-04-01 16:01:40;19-1095: Italy, Ancona, Civil Registration, 1544-1945 (DGA Project) - FSI;[Italy (Italian Ancestors), Ancona—Civil Registration, 1544–1945 \[Part F\] TEST|https:///www.familysearch.org/indexing/admin-new/#/projects/D7246CBC-164A-4A9C-86C6-FB4CB02A7C2E/overview];In Production;;00C1D998-938B-474B-BDF1-5A9E559711A1;;
