uuid;IDX;Rosetta
A8BEE32F-4483-4CF6-87E0-895632355A77;[no IDX project|https://www.familysearch.org/indexing/admin-new/#/projects/A8BEE32F-4483-4CF6-87E0-895632355A77/overview];Australia, South Australia—Passenger Lists, 1849–1940 \[Part D\]
7624DB22-3FAF-414F-B388-64D031301BB2;[US, New Hampshire, Hillsborough, Manchester—Cemetery Records, 1800–2007|https://www.familysearch.org/indexing/admin-new/#/projects/7624DB22-3FAF-414F-B388-64D031301BB2/overview];US, New Hampshire, Hillsborough, Manchester—Cemetery Records, 1800–2007.
E2529CE3-0C70-43E7-B48A-3ECF0437CF9A;[no IDX project|https://www.familysearch.org/indexing/admin-new/#/projects/E2529CE3-0C70-43E7-B48A-3ECF0437CF9A/overview];Sweden, Stockholm City—Index to Church Records, 1546—1927 \[Part 6\]
9D50D5BC-E6F7-40A6-A61E-C37A06634196;[no IDX project|https://www.familysearch.org/indexing/admin-new/#/projects/9D50D5BC-E6F7-40A6-A61E-C37A06634196/overview];UK, England, Warwickshire—Parish Registers, 1538–1960 \[Part 4\]
1FA54DCC-E2D7-48BC-96C3-423F2BC6F674;[no IDX project|https://www.familysearch.org/indexing/admin-new/#/projects/1FA54DCC-E2D7-48BC-96C3-423F2BC6F674/overview];US, Hawaii--Births and Baptisms, 1843-1909 \[Part C\]
4646A1EF-79CE-4D8E-9DD3-800A380A9827;[no IDX project|https://www.familysearch.org/indexing/admin-new/#/projects/4646A1EF-79CE-4D8E-9DD3-800A380A9827/overview];Slovakia, Presov—State Regional Archive Church Records, 1592–1935 \[Part B\]
EF860B6C-C53F-433D-ACDB-72A30920FD59;[US (Quick Batch), Illinois—World War II Draft Registrations, 1940–1945 \[Part C\]|https://www.familysearch.org/indexing/admin-new/#/projects/EF860B6C-C53F-433D-ACDB-72A30920FD59/overview];US (Quick Batch), Illinois—World War II Draft Registrations, 1940–1945 \[Part C\].
7551B8E8-76A0-40D1-9B95-65EC76E9D28A;[no IDX project|https://www.familysearch.org/indexing/admin-new/#/projects/7551B8E8-76A0-40D1-9B95-65EC76E9D28A/overview];US, Illinois—Naturalization Records, 1848–1945 \[Part B\]
12A749B8-C274-4A6B-A6F8-85CADAFC7E9E;[US, Pennsylvania—World War II Draft Registrations, 1940–1945 \[Part N\]|https://www.familysearch.org/indexing/admin-new/#/projects/12A749B8-C274-4A6B-A6F8-85CADAFC7E9E/overview];US, Pennsylvania—World War II Draft Registrations, 1940–1945 \[Part N\].
C6084B9F-9ADA-4E75-9363-E2BC74999682;[US, Massachusetts, Boston—Voter Registers, 1857-1920|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/overview];US, Massachusetts, Boston—Voter Registers, 1857-1920.
