dgs;Traveler: Project;Rosetta Assigned Project;Rosetta State;IDX Assigned Project;imageset;Project State;Projects with no Imageset workflow
004269393;14-1179: Massachusetts, Town and Vital Marriages, 1635-1920 - FSI;;;[US, Massachusetts—Town and Vital Records, Marriages, 1635–1920 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/079B078C-0357-4D7F-ADEE-5E1D41C8B0F4/overview];[BB879617-D7CE-4C07-98F4-9F681D80D749|https://www.familysearch.org/indexing/admin-new/#/projects/079B078C-0357-4D7F-ADEE-5E1D41C8B0F4/manage/BB879617-D7CE-4C07-98F4-9F681D80D749/batches/list];READY_FOR_DELIVERY;
004269394;14-1179: Massachusetts, Town and Vital Marriages, 1635-1920 - FSI;;;[US, Massachusetts—Town and Vital Records, Marriages, 1635–1920 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/079B078C-0357-4D7F-ADEE-5E1D41C8B0F4/overview];[C03C38F8-6B3F-4D75-8638-B193D96AC670|https://www.familysearch.org/indexing/admin-new/#/projects/079B078C-0357-4D7F-ADEE-5E1D41C8B0F4/manage/C03C38F8-6B3F-4D75-8638-B193D96AC670/batches/list];READY_FOR_DELIVERY;
004269395;14-1179: Massachusetts, Town and Vital Marriages, 1635-1920 - FSI;;;[US, Massachusetts—Town and Vital Records, Marriages, 1635–1920 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/079B078C-0357-4D7F-ADEE-5E1D41C8B0F4/overview];[5630E2E4-7954-41E3-8573-E9ACA544880F|https://www.familysearch.org/indexing/admin-new/#/projects/079B078C-0357-4D7F-ADEE-5E1D41C8B0F4/manage/5630E2E4-7954-41E3-8573-E9ACA544880F/batches/list];READY_FOR_DELIVERY;
007009308;14-1179: Massachusetts, Town and Vital Marriages, 1635-1920 - FSI;;;[US, Massachusetts—Town and Vital Records, Marriages, 1635–1920 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/079B078C-0357-4D7F-ADEE-5E1D41C8B0F4/overview];[DAAA0690-4888-460D-A2FB-96AB7323BB32|https://www.familysearch.org/indexing/admin-new/#/projects/079B078C-0357-4D7F-ADEE-5E1D41C8B0F4/manage/DAAA0690-4888-460D-A2FB-96AB7323BB32/batches/list];READY_FOR_DELIVERY;
007009317;14-1179: Massachusetts, Town and Vital Marriages, 1635-1920 - FSI;;;[US, Massachusetts—Town and Vital Records, Marriages, 1635–1920 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/079B078C-0357-4D7F-ADEE-5E1D41C8B0F4/overview];[B814A754-38F1-4A8A-9F4A-EAF397B4C292|https://www.familysearch.org/indexing/admin-new/#/projects/079B078C-0357-4D7F-ADEE-5E1D41C8B0F4/manage/B814A754-38F1-4A8A-9F4A-EAF397B4C292/batches/list];READY_FOR_DELIVERY;
007009329;14-1179: Massachusetts, Town and Vital Marriages, 1635-1920 - FSI;;;[US, Massachusetts—Town and Vital Records, Marriages, 1635–1920 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/079B078C-0357-4D7F-ADEE-5E1D41C8B0F4/overview];[380EE341-6B0E-4E19-89AC-DD28224D4A14|https://www.familysearch.org/indexing/admin-new/#/projects/079B078C-0357-4D7F-ADEE-5E1D41C8B0F4/manage/380EE341-6B0E-4E19-89AC-DD28224D4A14/batches/list];READY_FOR_DELIVERY;
007009330;14-1179: Massachusetts, Town and Vital Marriages, 1635-1920 - FSI;;;[US, Massachusetts—Town and Vital Records, Marriages, 1635–1920 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/079B078C-0357-4D7F-ADEE-5E1D41C8B0F4/overview];[990CD8C9-C7EB-4948-92C0-D88079F75A93|https://www.familysearch.org/indexing/admin-new/#/projects/079B078C-0357-4D7F-ADEE-5E1D41C8B0F4/manage/990CD8C9-C7EB-4948-92C0-D88079F75A93/batches/list];READY_FOR_DELIVERY;
007009332;14-1179: Massachusetts, Town and Vital Marriages, 1635-1920 - FSI;;;[US, Massachusetts—Town and Vital Records, Marriages, 1635–1920 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/079B078C-0357-4D7F-ADEE-5E1D41C8B0F4/overview];[EB034F4C-BFF5-49D0-B286-2F32DE381BF7|https://www.familysearch.org/indexing/admin-new/#/projects/079B078C-0357-4D7F-ADEE-5E1D41C8B0F4/manage/EB034F4C-BFF5-49D0-B286-2F32DE381BF7/batches/list];READY_FOR_DELIVERY;
007009343;14-1179: Massachusetts, Town and Vital Marriages, 1635-1920 - FSI;;;[US, Massachusetts—Town and Vital Records, Marriages, 1635–1920 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/079B078C-0357-4D7F-ADEE-5E1D41C8B0F4/overview];[4F4B703D-A120-45FA-996D-4B4534C38074|https://www.familysearch.org/indexing/admin-new/#/projects/079B078C-0357-4D7F-ADEE-5E1D41C8B0F4/manage/4F4B703D-A120-45FA-996D-4B4534C38074/batches/list];READY_FOR_DELIVERY;
007009377;14-1179: Massachusetts, Town and Vital Marriages, 1635-1920 - FSI;;;[US, Massachusetts—Town and Vital Records, Marriages, 1635–1920 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/079B078C-0357-4D7F-ADEE-5E1D41C8B0F4/overview];[32D14B6D-961D-41F0-AA03-09772982D63C|https://www.familysearch.org/indexing/admin-new/#/projects/079B078C-0357-4D7F-ADEE-5E1D41C8B0F4/manage/32D14B6D-961D-41F0-AA03-09772982D63C/batches/list];READY_FOR_DELIVERY;
