;Date Time Fetched;Traveler ID;Project UUID;Project Id;Short Name;Items to inspect;Inspection Notes;Imageset Count;Batch Count;Audit Batch Count;Image Count;Record Count;State;Export States;Export State Diffs
1;2020-09-04 12:10:48;13-0525;BC634BE9-727B-43C3-8281-30491AAAF16A;3880;Albania—1930 Census \[Part C\];{color:red}{color};{color:red}{color};1;681;33;698;0;TEST;\\IN_PROGRESS: 648\\NA_AUDIT: 33\\NA_BLOCKED: 50;
2;2020-09-04 14:43:28;19-1731;287D843B-2305-4D64-95C5-2CAA43202B11;4514;Argentina, Salta—Civil Registration, 1880–2000 \[Part C\];{color:red}{color};{color:red}{color};300;17;1;61169;0;TEST;\\IN_PROGRESS: 85\\NA_AUDIT: 2\\NA_BLOCKED: 151;
3;2020-06-02 16:51:30;14-0138;FBCB3840-4E5E-487D-BF49-C79BE9220DDA;2760;Belgium, East Flanders, Herzele—Civil Registration, 1821–1910 \[Part D\];{color:red}{color};{color:red}{color};68;1915;91;16080;0;TEST;\\IN_PROGRESS: 14307\\NA_AUDIT: 723\\NA_BLOCKED: 1773;
4;2020-09-04 13:35:39;18-0669;D6CF1CFC-8A7E-4E9B-B7D4-17792B321A4D;2884;Bolivia, Departamento de La Paz—Registros de la Iglesia Católica, 1627–1965 \[Parte A\];{color:red}{color};{color:red}{color};200;52292;2491;131533;234577;TEST;ACCEPTED: 35385\\ {color:red}EXPORTED: 50{color}\\IN_PROGRESS: 85764\\NA_AUDIT: 6249\\NA_BLOCKED: 6642\\NA_DUPLICATE: 635\\NA_NED: 3004\\NE_NO_PERSONAS: 53;
5;2020-09-04 15:22:51;20-0993;76735A44-FFFE-4057-B245-370636F11686;4484;Brazil, Manaus—Cemetery Records, 1850–2018 \[Part A\];{color:red}{color};{color:red}{color};19;453;23;2850;0;TEST;\\IN_PROGRESS: 1702\\NA_AUDIT: 91\\NA_BLOCKED: 3;\\IN_PROGRESS: 226\\NA_AUDIT: 12
6;2020-06-08 14:05:29;20-0630;925F96DE-83E5-4942-A5D2-C0FF804093A4;4214;Brazil, Rio Grande do Sul—Civil Registration, 1852–2002 \[Part A\];{color:red}{color};{color:red}{color};288;1092;52;811726;0;TEST;\\IN_PROGRESS: 3120\\NA_AUDIT: 156\\NA_BLOCKED: 58;
7;2020-09-04 14:20:11;19-0936;3A800D39-BAC8-4FC3-80DC-FBA7991FFD67;4456;Canada, East—Quebec—1851 Census;{color:red}{color};{color:red}{color};59;392;18;41468;0;TEST;\\IN_PROGRESS: 696\\NA_AUDIT: 36\\NA_BLOCKED: 109;
8;2020-09-04 13:40:55;18-1017;43A9AC5E-B8E9-4A2D-8082-FEFF4C821A02;4504;Chile—Cemetery Records, 1880–2015 \[Part H\];{color:red}{color};{color:red}{color};300;140;6;167258;0;TEST;\\IN_PROGRESS: 313\\NA_AUDIT: 19\\NA_BLOCKED: 878;\\IN_PROGRESS: 222\\NA_AUDIT: 15\\NA_BLOCKED: 748
9;2020-05-27 14:09:11;15-1271;17A9FF92-3E1B-48A1-AF80-D96373187594;2460;Danmark, København—Begravelsesregistre, 1805–1968 \[Del A\];{color:red}{color};{color:red}{color};150;25892;1228;92134;0;TEST;\\IN_PROGRESS: 91540\\NA_AUDIT: 4560\\NA_BLOCKED: 594;
10;2020-09-04 15:10:11;20-0806;682EB19E-7168-4EED-9D64-8A03DF3C4D7C;4517;Ecuador, Guayaquil—Cemetery Records, 1862–2019 \[Part E\];{color:red}{color};{color:red}{color};22;623;29;3167;0;TEST;\\IN_PROGRESS: 594\\NA_AUDIT: 29\\NA_BLOCKED: 2155;\\IN_PROGRESS: 467\\NA_AUDIT: 23\\NA_BLOCKED: 286
